annual_return,annual_vol,sharpe,max_dd,total_pnl,window_idx,train_start,train_end,test_start,test_end,weights
-0.011614264565836585,0.002306115871722673,-5.06564579558925,-10996.538135293378,-11496.538135293378,0,2015-01-02,2018-01-02,2018-01-03,2019-01-03,[ 0.19211326  0.04948647  0.42836454 -0.03095875 -0.29907698]
-0.008598048712610495,0.0020087696790164647,-4.298689553530312,-7998.012516626406,-8498.012516626406,1,2015-04-06,2018-04-04,2018-04-05,2019-04-04,[ 0.20564005 -0.00946435  0.51394258 -0.0698034  -0.20114962]
-0.010614359662428074,0.0022131313552595927,-4.821615237738842,-10001.489010627158,-10501.489010627158,2,2015-07-06,2018-07-03,2018-07-05,2019-07-05,[ 0.06382897 -0.06965682 -0.5969424   0.04420478  0.22536703]
-0.009606272213769751,0.0021144734405431362,-4.56497822538466,-8999.310528293385,-9499.310528293385,3,2015-10-02,2018-10-02,2018-10-03,2019-10-03,[ 0.24494908 -0.00490091 -0.62285989  0.03453962  0.0927505 ]
-0.006077919582896607,0.0017058404751750164,-3.5738345209513818,-5499.90588184247,-5999.623457140126,4,2016-01-04,2019-01-03,2019-01-04,2020-01-03,[ 0.22404038  0.00399724 -0.640658    0.03847107  0.09283331]
-0.009101348794455455,0.002062687409280025,-4.432495780786691,-8497.936520742413,-8997.728584132756,5,2016-04-05,2019-04-04,2019-04-05,2020-04-03,[ 0.15080524 -0.03436745 -0.61524178  0.04273415  0.15685138]
-0.00960690099853534,0.002114331378533334,-4.56558521136361,-8999.935310678367,-9499.935310678367,6,2016-07-05,2019-07-05,2019-07-08,2020-07-06,[ 0.21723059  0.12712012 -0.59204339  0.01896655 -0.04463935]
-0.010606334087368552,0.0022117384376311475,-4.820984427979525,-9993.506462352037,-10493.506462352037,7,2016-10-03,2019-10-03,2019-10-04,2020-10-02,[ 0.24988707  0.08702932 -0.64171483  0.01978219  0.0015866 ]
-0.010113575894115434,0.00216280778281239,-4.699844630965301,-9504.678147419654,-10003.513553069335,8,2017-01-03,2020-01-03,2020-01-06,2021-01-04,[ 0.24935013  0.06757066 -0.65154426  0.01102604  0.02050892]
-0.010113900850740709,0.002163588873552356,-4.698299632426245,-9504.253950607992,-10003.836606009803,9,2017-04-04,2020-04-03,2020-04-06,2021-04-06,[ 0.28864818  0.06764879 -0.61527376 -0.00714655 -0.02128271]
-0.013614740524931834,0.00247450342812528,-5.539656160546809,-12990.312474830494,-13490.312474830494,10,2017-07-05,2020-07-06,2020-07-07,2021-07-06,[ 0.30130261  0.00648218 -0.61078243 -0.07034145  0.01109133]
-0.012117202733585852,0.00234859597852355,-5.190726605780017,-11497.412971125534,-11997.412971125534,11,2017-10-03,2020-10-02,2020-10-05,2021-10-04,[ 0.22187173 -0.07392171 -0.6409103  -0.01447218  0.04882409]
-0.00961330775671343,0.00211382603841487,-4.569736854190703,-9006.301310598834,-9506.301310598834,12,2018-01-03,2021-01-04,2021-01-05,2022-01-03,[ 0.31571371 -0.13438858 -0.54323592 -0.0038256   0.00283619]
-0.006591739552030074,0.0017694586535166954,-3.7375692378104883,-6008.498449517733,-6508.498449517733,13,2018-04-05,2021-04-06,2021-04-07,2022-04-04,[ 0.4877259  -0.2619003  -0.10392587 -0.10888346 -0.03756447]
-0.010612098868003628,0.002210940439489395,-4.825359709243781,-9999.240330277644,-10499.240330277644,14,2018-07-05,2021-07-06,2021-07-07,2022-07-06,[ 0.22766101 -0.18181815 -0.22038514  0.20436037 -0.16577534]
-0.012114520025295894,0.002345086533584283,-5.197336634920507,-11494.740595071315,-11994.740595071315,15,2018-10-03,2021-10-04,2021-10-05,2022-10-04,[ 0.17574342 -0.09916109 -0.14429237  0.28943859 -0.29136453]
-0.012631870290559122,0.0023921914214014633,-5.313960207741304,-12010.232085760392,-12510.232085760392,16,2019-01-04,2022-01-03,2022-01-04,2023-01-04,[ 0.03150828  0.21873921  0.42097146 -0.14955932 -0.17922173]
-0.010109763115180193,0.002163162490126042,-4.697293440160126,-9500.32935804412,-9999.723118125547,17,2019-04-05,2022-04-04,2022-04-05,2023-04-05,[ 0.20453564 -0.2682348  -0.33796981  0.08098147  0.10827828]
-0.009100949228495248,0.0020610016601300377,-4.435925595963696,-8497.987731985377,-8997.331763248561,18,2019-07-08,2022-07-06,2022-07-07,2023-07-07,[ 0.32910381 -0.2851078  -0.23824268  0.11411962 -0.03342609]
-0.013616521569121187,0.002474277722552453,-5.540891212686684,-12992.089346341478,-13492.089346341478,19,2019-10-04,2022-10-04,2022-10-05,2023-10-05,[ 0.26245263 -0.24897116 -0.3289972   0.10916618  0.05041282]
-0.013596511577180337,0.002471438550749179,-5.539048816484768,-12972.126417962032,-13472.126417962032,20,2020-01-06,2023-01-04,2023-01-05,2024-01-05,[ 0.27961894 -0.17958479  0.20311379  0.07030524 -0.26737724]
-0.013606411298560883,0.002471544754770741,-5.542871289885069,-12982.002804743743,-13482.002804743743,21,2020-04-06,2023-04-05,2023-04-06,2024-04-08,[ 0.21373467 -0.13092837  0.307589    0.04951373 -0.29823423]
-0.01411970204225832,0.002513634854858332,-5.6571192784671025,-13494.218986978523,-13994.218986978523,22,2020-07-07,2023-07-07,2023-07-10,2024-07-09,[ 0.30891866 -0.11057759  0.23787866  0.05404629 -0.28857881]
-0.012630625757804492,0.0023918128662200567,-5.314274294551611,-12008.99170165913,-12508.99170165913,23,2020-10-05,2023-10-05,2023-10-06,2024-10-07,[ 0.30336504 -0.09961189  0.27275669  0.04301674 -0.28124964]
